2018/19,,,,,,,,,,,
,Team,Position,Points,GD,Shots per game,Yellow Cards,Red Cards,,,GD,Points
,Everton,11,47,-2,,,,,,-2,47
,Fulham,,,,,,,,,,
,Huddersfield,,,,,,,,,,
,Hull,18,35,-18,,,,,,-18,35
,Leicester,14,41,-9,,,,,,-9,41
,Liverpool,6,62,4,,,,,,4,62
,Man City,2,79,45,,,,,,45,79
,Man United,4,70,25,,,,,,25,70
,Middlesbrough,,,,,,,,,,
,Newcastle,15,39,-23,,,,,,-23,39
,Norwich,,,,,,,,,,
,Portsmouth,,,,,,,,,,
,QPR,20,30,-31,,,,,,-31,30
,Reading,,,,,,,,,,
,Southampton,7,60,21,,,,,,21,60
,Stoke,9,54,3,,,,,,3,54
,Sunderland,16,38,-22,,,,,,-22,38
,Swansea,8,56,-3,,,,,,-3,56
,Tottenham,5,64,5,,,,,,5,64
,Watford,,,,,,,,,,
,West Brom,13,44,-13,,,,,,-13,44
,West Ham,12,47,-3,,,,,,-3,47
,Wigan,,,,,,,,,,
,Wolves,,,,,,,,,,
2013/14,Arsenal,4,79,27,,,,,,27,79
,Aston Villa,15,38,-22,,,,,,-22,38
,Birmingham,,,,,,,,,,
,Blackburn,,,,,,,,,,
,Blackpool,,,,,,,,,,
,Bolton,,,,,,,,,,
,Bournemouth,,,,,,,,,,
,Brighton,,,,,,,,,,
,Burnley ,,,,,,,,,,
,Cardiff,20,30,-42,,,,,,-42,30
,Chelsea,3,82,51,,,,,,51,82
,Crystal Palace,11,45,-15,,,,,,-15,45
,Everton,5,72,22,,,,,,22,72
,Fulham,19,32,-45,,,,,,-45,32
,Huddersfield,,,,,,,,,,
,Hull,16,37,-15,,,,,,-15,37
,Leicester,,,,,,,,,,
,Liverpool,2,84,51,,,,,,51,84
,Man City,1,86,65,,,,,,65,86
,Man United,7,64,21,,,,,,21,64
,Middlesbrough,,,,,,,,,,
,Newcastle,10,49,-16,,,,,,-16,49
,Norwich,18,33,-34,,,,,,-34,33
,Portsmouth,,,,,,,,,,
,QPR,,,,,,,,,,
,Reading,,,,,,,,,,
,Southampton,8,56,8,,,,,,8,56
,Stoke,9,50,-7,,,,,,-7,50
,Sunderland,14,38,-19,,,,,,-19,38
,Swansea,12,42,0,,,,,,0,42
,Tottenham,6,69,4,,,,,,4,69
,Watford,,,,,,,,,,
,West Brom,17,36,-16,,,,,,-16,36
,West Ham,13,40,-11,,,,,,-11,40
,Wigan,,,,,,,,,,
,Wolves,,,,,,,,,,
2012/13,Arsenal,4,73,35,,,,,,35,73
,Aston Villa,15,41,-22,,,,,,-22,41
,Birmingham,,,,,,,,,,
,Blackburn,,,,,,,,,,
,Blackpool,,,,,,,,,,
